event_timestamp_utc,area_name,level,threshold_mm,observed_mm_mean,observed_mm_max,product,observation_timestamp_utc,forecast_max_6h_mm,notified_email,notified_telegram,note
2026-07-26T05:40:32Z,panna,storm_on_area,5.0,3.84,10.14,SRI,2026-07-26T05:25:00Z,,true,true,catch-up: cella rilevata a posteriori +15min
2026-07-26T05:40:32Z,panna,storm_on_area,5.0,4.05,9.93,SRI,2026-07-26T05:20:00Z,,true,true,catch-up: cella rilevata a posteriori +20min
2026-07-26T05:40:32Z,panna,storm_on_area,5.0,3.58,8.04,SRI,2026-07-26T05:15:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-07-26T05:40:32Z,panna,storm_on_area,5.0,5.20,11.63,SRI,2026-07-26T05:10:00Z,,true,true,catch-up: cella rilevata a posteriori +30min
2026-07-26T05:40:32Z,panna,storm_on_area,5.0,4.33,11.47,SRI,2026-07-26T05:05:00Z,,true,true,catch-up: cella rilevata a posteriori +35min
2026-07-26T06:00:36Z,panna,storm_cleared,5.0,0.59,1.38,SRI,2026-07-26T05:50:00Z,,true,true,"cella uscita dopo ~135min, caduti 9.34000015258789mm"
2026-07-26T06:00:36Z,panna,storm_on_area,5.0,2.74,7.34,SRI,2026-07-26T05:40:00Z,,true,true,catch-up: cella rilevata a posteriori +20min
2026-07-26T06:00:36Z,panna,storm_on_area,5.0,3.05,7.17,SRI,2026-07-26T05:35:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-07-26T06:00:36Z,panna,storm_on_area,5.0,3.52,9.69,SRI,2026-07-26T05:30:00Z,,true,true,catch-up: cella rilevata a posteriori +30min
2026-07-26T14:05:00Z,ruspino,storm_on_area,10.0,,25.45,ARPA,2026-07-26T14:10:00Z,,recon,recon,ricostruito (evento non registrato dal nowcast)
2026-07-26T14:15:00Z,ruspino,storm_cleared,10.0,,25.45,ARPA,2026-07-26T14:15:00Z,,recon,recon,ricostruito
2026-07-26T14:18:46Z,ruspino,storm_on_area,10.0,3.36,25.45,SRI,2026-07-26T14:10:00Z,,true,true,cella su area
2026-07-26T14:40:28Z,ruspino,storm_on_area,10.0,7.66,18.49,SRI,2026-07-26T14:25:00Z,,true,true,catch-up: cella rilevata a posteriori +15min
2026-07-26T14:40:28Z,ruspino,storm_on_area,10.0,6.07,19.61,SRI,2026-07-26T14:20:00Z,,true,true,catch-up: cella rilevata a posteriori +20min
2026-07-26T14:40:28Z,ruspino,storm_on_area,10.0,3.51,11.43,SRI,2026-07-26T14:15:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-07-26T14:40:28Z,ruspino,storm_on_area,10.0,3.36,11.43,SRI,2026-07-26T14:10:00Z,,true,true,catch-up: cella rilevata a posteriori +30min
2026-07-26T15:00:44Z,ruspino,storm_on_area,10.0,8.45,20.17,SRI,2026-07-26T14:30:00Z,,true,true,catch-up: cella rilevata a posteriori +30min
2026-07-26T15:20:30Z,ruspino,storm_cleared,10.0,0.00,0.00,SRI,2026-07-26T15:10:00Z,,true,true,"cella uscita dopo ~61min, caduti 8.125mm"
