sensor_id,ts_utc,mm
8010,2026-07-26T09:10:00Z,0.20
8010,2026-07-26T09:30:00Z,0.20
8010,2026-07-26T09:50:00Z,0.20
8010,2026-07-26T10:10:00Z,0.40
8010,2026-07-26T10:20:00Z,0.20
8010,2026-07-26T10:40:00Z,0.20
8010,2026-07-26T10:50:00Z,0.20
8010,2026-07-26T11:20:00Z,0.20
8010,2026-07-29T17:30:00Z,0.40
8010,2026-07-29T17:40:00Z,1.60
8010,2026-07-29T17:50:00Z,0.80
8010,2026-07-29T18:10:00Z,0.20
8010,2026-07-29T18:30:00Z,1.20
8010,2026-07-29T18:40:00Z,0.80
8010,2026-07-29T19:00:00Z,0.20
8010,2026-07-31T16:30:00Z,0.20
8010,2026-07-31T16:40:00Z,0.40
8010,2026-07-31T17:20:00Z,0.20
8010,2026-07-31T22:30:00Z,0.20
8010,2026-07-31T22:50:00Z,0.20
8010,2026-08-01T04:20:00Z,0.20
8010,2026-08-01T17:50:00Z,2.80
8010,2026-08-01T18:00:00Z,2.00
8010,2026-08-01T18:10:00Z,1.00
8010,2026-08-01T18:20:00Z,1.00
8010,2026-08-01T18:30:00Z,1.20
8010,2026-08-01T18:40:00Z,0.80
8010,2026-08-01T18:50:00Z,0.40
8010,2026-08-01T19:00:00Z,0.20
8010,2026-08-01T19:10:00Z,0.40
8010,2026-08-01T19:30:00Z,0.20
8010,2026-08-01T21:50:00Z,0.20
2278,2026-08-02T09:50:00Z,0.20
2278,2026-08-02T10:00:00Z,2.40
2278,2026-08-02T10:10:00Z,2.00
2278,2026-08-02T10:20:00Z,1.00
2278,2026-08-02T10:30:00Z,0.60
2278,2026-08-02T10:40:00Z,1.60
2278,2026-08-02T10:50:00Z,2.00
2278,2026-08-02T11:00:00Z,0.20
2278,2026-08-02T11:10:00Z,0.20
2278,2026-08-02T11:20:00Z,0.20
2278,2026-08-02T11:30:00Z,0.20
2278,2026-08-02T11:40:00Z,0.20
2278,2026-08-02T11:50:00Z,0.40
2278,2026-08-02T12:00:00Z,0.20
2278,2026-08-02T12:10:00Z,0.20
2278,2026-08-02T12:50:00Z,0.20
8010,2026-08-06T16:00:00Z,0.60
8010,2026-08-06T16:10:00Z,0.40
8010,2026-08-06T16:20:00Z,0.20
8010,2026-08-06T21:00:00Z,0.40
8010,2026-08-06T21:10:00Z,0.40
8010,2026-08-06T21:30:00Z,0.20
8010,2026-08-06T22:00:00Z,0.60
8010,2026-08-06T22:10:00Z,0.60
8010,2026-08-06T22:20:00Z,0.20
8010,2026-08-06T22:30:00Z,2.60
8010,2026-08-06T22:40:00Z,1.00
8010,2026-08-06T22:50:00Z,0.20
2278,2026-08-07T10:10:00Z,1.20
